CT_Position_1 CT_Position_2 CT_Position_3 CT_Position_4 CT_Position_5 CT_Position_6 CT_Position_7 CT_Position_8 CT_Position_9 GA_Position_1 GA_Position_2 GA_Position_3 GA_Position_4 GA_Position_5 GA_Position_6 GA_Position_7 GA_Position_8 GA_Position_9 ageBP
0.11797171438427 0.00571646341463415 0.00286168521462639 0.00462249614791988 0.0019657399606852 0.00233236151603499 0.000900360144057623 0.00280199252801993 0.00143884892086331 0.115251026207768 0.00811359026369168 0.00608087564609304 0.00223285486443381 0.00213936430317848 0.00149700598802395 0.00094132412927518 0.00122399020807834 0.00150375939849624 851
0.203125 0.0177514792899408 0.0105820105820106 0 0.00367647058823529 0.00125470514429109 0 0 0 0.123626373626374 0.0018796992481203 0 0.00868306801736614 0 0 0 0 0 6165
0.142759094028826 0.00218181818181818 0.00252525252525253 0.00240963855421687 0.00542822677925211 0.00115141047783535 0.00224719101123596 0.0022766078542971 0.00181159420289855 0.123677248677249 0.00544747081712062 0 0.00598802395209581 0.00178890876565295 0.00302663438256659 0.00313873195229127 0.00231615518239722 0.00225479143179256 999
0.125827814569536 0 0 0 0.00285714285714286 0 0 0 0.00291545189504373 0.146953405017921 0 0.00294985250737463 0 0.00432900432900433 0 0 0 0 5687
0.103770321687997 0.00986582478295185 0.00567286479672234 0.00121765601217656 0.00327478416195296 0.000912408759124088 0.0036101083032491 0.000896860986547085 0.000568828213879408 0.113425065079955 0.00556586270871985 0.003830194701564 0.00428003668602874 0.000918554807103491 0.00209455415918612 0.00184275184275184 0.00386559619387452 0.00147885241052943 2900
0.0306972664815086 0.0024330900243309 0.00151703213349883 0.00188704677180213 0.000811249323958897 0.00149395626782561 0.00197963800904977 0.00166458593424886 0.000953029271613342 0.0331427086041071 0.00578920483568874 0.00403574517151917 0.00377017041170261 0.00103826757638683 0.00259067357512953 0.00314889788573999 0.00213614354884648 0.00185317177476835 174
0.182410423452769 0.00510204081632653 0.00294117647058824 0.00529100529100529 0.00221238938053097 0 0 0.00232558139534884 0 0.118343195266272 0 0 0.005 0.00763358778625954 0 0 0 0.0048780487804878 4040
0.135566188197767 0 0.0037593984962406 0 0.00251256281407035 0 0.00372670807453416 0 0.00123762376237624 0.100149476831091 0.00310077519379845 0 0.0133010882708585 0 0.0034443168771527 0 0 0 2520
0.134146341463415 0 0 0 0 0 0.0123456790123457 0 0 0.146666666666667 0.0273972602739726 0.0114942528735632 0 0 0 0 0.0208333333333333 0 1107
0.142857142857143 0 0 0 0 0 0 0 0 0 0 0.166666666666667 0 0 0 0 0 0 3761
0.125 0.00884955752212389 0.00632911392405063 0 0.00719424460431655 0 0 0 0.0120481927710843 0.151260504201681 0 0 0.00763358778625954 0.0115606936416185 0.00657894736842105 0.00689655172413793 0 0.00628930817610063 3812
0.123711340206186 0 0 0 0 0 0 0 0 0.149484536082474 0.0132450331125828 0 0 0.0045662100456621 0 0.0162162162162162 0.0137614678899083 0.00881057268722467 841
0.0574324324324324 0.00568181818181818 0.00151515151515152 0.0015748031496063 0.00149700598802395 0.00336700336700337 0 0.00142247510668563 0.00171526586620926 0.0596745027124774 0.0242914979757085 0.00354609929078014 0.0125588697017268 0.00333889816360601 0.00324149108589951 0.0140350877192982 0.00749625187406297 0.0029673590504451 1873
0.0458715596330275 0.0306122448979592 0 0 0.00900900900900901 0 0 0 0.00854700854700855 0.078125 0.03125 0 0 0 0.00980392156862745 0 0 0 4141
0.0786267995570321 0.00823305889803673 0.00353356890459364 0.00706001008572869 0.000896057347670251 0.000508130081300813 0.00102406554019457 0.00339640950994663 0.000478927203065134 0.0869800108049703 0.0099009900990099 0.00971867007672634 0.00748129675810474 0.00780107264748903 0.00437530384054448 0.0110993657505285 0.00148001973359645 0.0092497430626927 1050
0.0526315789473684 0 0 0 0 0 0 0 0 0.153846153846154 0 0 0 0 0 0 0 0 1848
0.123054114158636 0.00242130750605327 0.00403768506056528 0.00306560392397302 0.000672043010752688 0.000638977635782748 0 0.000598086124401914 0.00181268882175227 0.143064633260712 0.0164502164502165 0.0136690647482014 0.00712435233160622 0.00242718446601942 0.0025974025974026 0.0032071840923669 0.0068922305764411 0.00896592946802152 1960
0.1049766718507 0.00816993464052288 0.0053835800807537 0.00203665987780041 0 0.000660938532716457 0.000636132315521629 0.000659195781147001 0.000664010624169987 0.138582677165354 0.0188679245283019 0.0143835616438356 0.00498930862437634 0.00768156424581006 0.00411522633744856 0.00202156334231806 0.00394736842105263 0.006 3130
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3175
0.166666666666667 0 0 0 0 0 0 0 0 0.195121951219512 0.0161290322580645 0 0 0 0.0142857142857143 0.0131578947368421 0 0.0138888888888889 3057
0 0 0 0 0 0 0 0 0 0.1 0 0 0 0 0.111111111111111 0 0 0 1161
0.131987577639752 0.00868055555555556 0 0.00292825768667643 0 0 0 0.00113122171945701 0 0.162962962962963 0.0293542074363992 0.00473186119873817 0 0.00263852242744063 0.00377833753148615 0.00145137880986938 0.0197368421052632 0.00334821428571429 1672
0.19047619047619 0 0 0 0 0 0 0 0 0 0 0 0.0666666666666667 0 0 0 0 0 1414
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3758
0.222222222222222 0.0170940170940171 0 0 0 0 0 0 0.00613496932515337 0.180412371134021 0 0 0 0 0 0 0.0099009900990099 0 4474
0.00132196409302646 0.0222500462332264 0.0047770409009347 0.00150516662417695 0.00391937720293499 0.00965552676607198 0.0012762282384229 0.000776011497538058 0.00491421242052013 0.00825718058167274 0.000778419193351142 0.00322952082293416 0.00310155753608172 0.0162570968945806 5.24560090715467e-05 0.0111933303792556 0.00159778410651649 0.00666763836209491 0
0.00300038049396451 0.0177996205238774 0.000530661323571713 0.0170048739771878 0.000183199147190835 0.00125447735655318 0.000672054455801138 0.000308689750265651 0.00212358387733676 0.00121442293230373 0.000209603386861857 0.00134253414170326 0.000947326908657293 0.000378220886888144 0.000619951284700727 0.00454426783401834 0.00943664642370239 0.000928096731847976 0
0.00242959387359227 0.00193932257586889 0.00341973690086635 0.00378305274269349 0.00159383647334996 0.00146768629701202 0.000399785272029951 0.00471281703330819 0.00512857840633832 0.000213912164297839 0.00410536576571295 0.00284892329770037 0.00136495877678885 0.0135229586875911 0.00592110528674842 0.00746376239797396 0.000297989480000364 0.00140244446884725 0
0.00512722213363029 0.00322068900100188 0.00106891627725205 0.0102350218231315 0.00298589605483659 0.00203096302513748 0.005881732940096 0.00276582347500809 0.00337682653287751 0.00119755011393112 0.00506629839487048 0.00375763751538546 0.00172971405366489 0.00332104717779111 0.000556434556691935 0.00390210262317842 0.000224900402455177 0.00366954999330946 0
0.0021673323595407 0.00162577868210211 0.000261453032206575 0.000315808279088261 0.00379306744283811 0.000317432636610542 8.01993046703762e-05 0.000904504783075518 0.0137487322618197 0.00103041666434271 0.00574959698637994 0.00334210852812295 0.00363447164981083 0.00484175562780218 0.00125310386380371 0.000266873472003783 0.006544465317726 0.00133862220634551 0
0.00812364233239934 0.00146569351778053 0.00575940814205905 0.00730317721323571 0.000178194470831585 0.0138396832446627 0.00496869194304677 0.00638570582147737 0.00849642650046076 0.00528578125951353 0.000295267631802216 0.00471747496225557 5.4319789687861e-05 0.000963585805683858 0.00155987388194556 0.00141763736688123 0.00873578403719364 0.0102525038053771 0
0.00790767897121229 0.000152838363287168 0.00165583484689284 0.00196731582504917 0.00120441954892191 0.00656033647659085 0.000290615288189245 0.00472061153106868 0.00507441182581864 0.0148965446705565 0.00018737073774232 0.00713256031883363 0.0167351931074614 0.00474440795527501 0.00101486537418656 0.00355677743466942 0.000409613482987041 0.00685782099148251 0
0.00100458421053694 0.00314450866293735 7.6752303725548e-05 2.73835784672126e-05 0.0126744613079635 0.000288710745475739 0.00293755587502994 0.0049992308977053 0.000492916297763526 0.00856529430485521 0.0084894426813176 0.00657648895070014 0.00126830704941061 0.00112138055732896 0.00192491972417911 0.00698185043466031 0.000343564315917737 0.0105758649073361 0
0.00150636519233073 0.00544186724885133 0.00967752947002807 0.00483974961034348 0.000194140404222765 0.00156978854092083 0.00330202816438076 0.000561479626825052 0.00133660880699531 0.00473331075470693 0.00025449877547924 0.00979985094244684 0.00354610163049356 0.000750274499992863 0.00615052527542916 0.00181119510165402 0.000407633335282171 0.012044095152087 0
